,no opinion given,I disagree with the claim that ,I agree with the claim that ,I consider myself politically intensely conservative on all topics.,I consider myself politically conservative on most topics.,I consider myself populist right.,I consider myself to be on the right side of the political spectrum.,I hold a mix of conservative and liberal views.,I consider myself progressive left.,I consider myself a liberal.,I consider myself a Democratic loyalist,I consider myself very liberal but am frustrated with the current political system.
0,Agree,Disagree,Agree,Disagree,Agree,agree,Agree.,Agree,Agree,Agree,Agree,Agree
1,Disagree.,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
2,Agree.,Disagree,Agree,Disagree,Agree,Agree.,Agree,Agree,Agree,Agree,Agree,Agree
3,Agree,Agree,Agree,Disagree,Agree,Somewhat,Agree,Agree,Agree,Agree,Agree,Agree
4,Agree,Agree,Agree,Disagree,Consistent,Agree,Agree.,Agree,Agree!,Agreed,Agree,Agree
5,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
6,Disagree,Disagree,Disagree.,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
7,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
8,Agree,Neither,Agree,Disagree.,Disagree,Disagree,Agree!,Agree,Agree,Agree,Agree,Agree
9,Neutralk,Disagree,Agree,Disagree,Disagree,Agree,I,Disagree,Agree,Agree,Agree,Agree
10,Disagree,Disagree,I agree.,Agree,Agree,Agree.,Agree,Disagree,Disagree,Agree,Agree,Disagree
11,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,AGREED.,Agree
12,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
13,Agree,Agree,AGREE,Disagree,Agree,Agree,Agree.,Agree,Agree,Agree.,Agree,Agree.
14,Agree.,Disagree,Agree,Disagree,Disagree,No,Agree,Maybe,Disagree,Disagree,Undecided,Agree
15,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
16,Agree,Disagree,Agree.,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree.
17,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree.,Agree,Agree
